Molecule Name;SmilesOfStructure;SmilesOfFragments and frequency
Smiles (2)17;O=C(NCC=1OC=CC1)CCC23CCC(O)(C)CC3C(C)(C)CC2NCC4=CC=C(OC)C=C4;*C(=O)N(*)*;1;[H]OC;1;*N(*)[H];1;*O*;1;*o*;1;ccccC;1;CCC12CCC(C)CC2C(C)(C)CC1;1;c1ccc(cc1)C;1;C;1
Smiles (2)18;N#CC(=CC=1C(Cl)=CC=CC1Cl)C2=NC=3C=CC=CC3S2;N#CC=C;1;*Cl;2;*s*;1;*n(*)*;1;c1ccccc1;2;c;1
Smiles (2)19;O=C(OCC)C1(C=2C=CC=CC2)CCC=CC1N(C)C;*OC(*)=O;1;C=C;1;*N(*)*;1;CC;1;c1ccc(cc1)C(C)CC;1;C;2
Smiles (2)20;O=C1C(NCC(O)C)=C2C3C4C=CC(C=5C=CC(N)NC5)CC63CC(O)C(O)CC16CC#CCC7(C4)C(CCC27O)C(O)(C)C(O)C8OCC(C)C8C;*C(=O)C(=C)N(*)*;1;[H]OC;6;C=C;1;*N(*)C1C=CC=CN1*;1;C#C;1;*O*;1;CCC;1;CCC1(CCCCC1C)CCCC2(C)CCCC2C(C)CCC(C)C(C)C;1
Smiles (2)21;O=C1C=C(OC=2C=C3OC(C)(C(OOCC(O)C(O)(CN4C=CC=5NC=CC54)C(O)C(O)CO)CC3=CC12)C6CCCC6)C;O=[cH2];1;*O*;1;*OO*;1;[H]OC;5;*o*;1;*n(*)*;2;c1cc(cccC)cc(c1)CCC(C)C2CCCC2;1;CCCC(C)CC;1;cccccc;1
Smiles (2)22;O=C(NC1COC2C1OCC2N3N=NC(=C3)COC)N4CCOCC4;*N(*)C(=O)N(*)*;1;*O*;4;*n(*)*;3;CCCCCC;1;ccC;1;C;1;CC;2
Smiles (2)23;O=C1C=C(OC2=C1C=C3C(OC(C)(CCC4CNC(=O)C54CCCCC5)C(OOCC(O)C(O)(CN6C=CC=7NC=CC76)C(O)C(O)CO)C3)=C2N8C=C9NC=CC9=C8CC)C;O=[cH2];1;*O*;1;*C(=O)N(*)*;1;*OO*;1;[H]OC;5;*n(*)*;4;*o*;1;c1cc(cccC)cc(c1)CCC(C)CCC(C)C2CCCCC2;1;CCCC(C)CC;1;cccccc;1;ccc(cc)cCC;1
Smiles (2)24;N#CCC1C=C(C)C(CC(=O)NC(C)C)CC1C(C)C;N#C;1;C=C;1;*C(=O)N(*)*;1;CCCC(CC)C(C)C;1;C;1;CCC;1
Smiles (2)25;O1C2C=CC=CC12;O1C2C=CC=CC12;1
Smiles (2)26;N=1OC(=NC1C=2C=NC(OC)=CC2)C3N(CC=4SC=CC4)CCC3;*O*;1;*N(*)*;1;*n(*)*;3;*o*;1;*s*;1;cCCCC;1;cccc(-c)c;1;C;1;ccccC;1
Smiles (2)27;O=C1C(OC=2C=CC=CC2Br)=C(OC=3C1=CC=C(O)C3CN4CCCCC4)C(F)(F)F;O=[cH2];1;*O*;1;*Br;1;[H]Oc;1;*N(*)*;1;*F;3;*o*;1;c1cc(cccC)cc(c1)C;1;c1ccccc1;1;CCCCC;1
Smiles (2)28;OC1=CC=CC(=C1)CC2=CC(=CC=C2O)CCC3C#CC4=CC(NC5=C4COC(CCC3)CC(O)CCC6=CC(OCC7=CC(=CC8=CN5C=C87)C9%10C=%11C=CC=CC%11CCC%10COCC9)=C(O)C=C6CO)NCOCCCCO;[H]Oc;3;*OCN(*)C1C=C(C#C)C=C(n(*)*)N1*;1;*O*;3;[H]OC;3;c1ccc(cc1)Cc2cccc(c2)CCCCCCCCCCCc3ccccc3C;1;C;1;cc1cc(cc(c1c)C)C2(c3ccccc3CCC2C)CC;1;CCCC;1
Smiles (2)29;O=C1NC(CC2=CC=C(OC3OC(CO)C(OC4OC(CO)C(OC)C(O)C4OC)C(O)C3O)C=C2)C(C)(C)C1N;*C(=O)N(*)*;1;*OCO*;2;[H]OC;5;*O*;2;[H]N([H])C;1;c1ccc(cc1)CCC(C)(C)C;1;CCCCC;2;C;2
Smiles (2)30;O=C1OC=2C=C3OC4(CC3=CC2C=C1CC(CO)CCCO)C5C=6C=C(N)NCC6CC(=O)N7C8C=CC(=O)C9CC(SSCC5=CCC4(OC(=O)C(=CC)CCO)C)C7C8C9NC;O=[cH2];1;*O*;1;[H]OC;3;*N(*)C(=CC=C)N(*)*;1;*C(=O)N(*)*;1;*C(=O)C=C;1;*SS*;1;C=C;1;*OC(=O)C=C;1;*N(*)[H];1;*o*;1;cc(cc1cccc(c1)CC(C)C(C)C)CC(C)CCC;1;C;5;CC1CCCCC1;1;CC;1
Smiles (2)31;O=C(C=1C=CC=CC1[NH+]([O-])O)N2CC=3C=4C=CC=CC4NC3CC2;*C(=O)N(*)*;1;*[N](*)(O[H])O[H];1;*n(*)*;1;c1ccccc1;1;c1ccc(cc1)c(cCC)C;1
Smiles (2)32;O=C(NCC1=CC=C(OC)C=C1)CCC23CCC(O)(C)CC3C(C)(C)CC2NC4CCOCC4;*C(=O)N(*)*;1;*O*;2;[H]OC;1;*N(*)[H];1;c1ccc(cc1)C;1;C;1;CCC12CCC(C)CC2C(C)(C)CC1;1;CCCCC;1
Smiles (2)33;O=C1C=2C=CC=C3OC4OC5(CO)CCC(CC6=CCNC=7NC(SSCC8(C(O)=CC(=CC18)CC=9C=CC=C(C9)CO)C(=O)C32)CCC67)C(O)(C4O)C5O;*C(*)=O;2;*OCO*;1;[H]OC;5;*SSCN(*)C(=CC=C)N(*)*;1;[H]OC=CC=C;1;c1ccccc1;1;CC1CCC(C)C(C)C1;1;C;1;CCC;1;c1cc(cc(c1)C)C;1;CC;1
