Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C;2;0.000;2;0.00
cccc(c)C1CCC2C3CCC4CCCCC4C3CCC12C;2;0.000;2;0.00
c1cc(c(cc1C)CC)C;2;0.000;2;0.00
cccc1cccc(c1)CC;1;0.000;1;0.00
CCC1CCC(C)(CCCCC(C)(C)CC)C1(C)CC;1;0.000;1;0.00
CCC1(C)CCCCC1;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCC3(C)C2CCC4C5CCCC5CCC43C;3;0.000;3;0.00
CC1CC(C)C2CC(C)(C)CC2C1;1;0.000;1;0.00
C1CCCC1;4;0.000;4;0.00
C1CCCCCC1;3;0.000;3;0.00
c1ccc2c(c1)-c3ccccc3CCC2;1;0.000;1;0.00
CC1CCCCC(C)C1;1;0.000;1;0.00
c1ccc(cc1)c(cCC)-c2ccccc2;1;0.000;1;0.00
CCC1C(C)(C)CCC(C(C)CCCC(C)C)C1(C)C;1;0.000;1;0.00
*F;64;0.005;24;0.02
*C(=O)C(O[H])=C;5;0.000;5;0.00
CCC1C(C)CCC(C)C1(C)CC;2;0.000;2;0.00
*C(=O)C1OC1;1;0.000;1;0.00
CCCCC(CC)CC;1;0.000;1;0.00
*OC=CC(=O)C(*)=O;1;0.000;1;0.00
C1CCC1;1;0.000;1;0.00
c1ccc(cc1)CCC;19;0.002;19;0.02
c(cCCCC)cCC(C)C(C)CC;1;0.000;1;0.00
[H]OC1(OC(=O)C=C1)C=C;2;0.000;2;0.00
CCCCCCCCC;11;0.001;11;0.01
CC1CCC(C)C1(C)C;1;0.000;1;0.00
ccc(c)CCC1C(C)CCC(C)C1CC;1;0.000;1;0.00
cc(c)Cc1ccccc1;1;0.000;1;0.00
O=C1C(N=C2C=NC=CN21)=C;1;0.000;1;0.00
c1ccc(cc1)C(C)C;11;0.001;11;0.01
c1ccc(cc1)C(C)CCC(C)C;1;0.000;1;0.00
c1ccc(cc1)C2(CC)CC3(CCC)CCC2CC3;2;0.000;2;0.00
CC(C)C(C)C;1;0.000;1;0.00
c1ccc(cc1)CCCC(C)CCCC23CCCC(C)(C4CCC56CC7(CCC8(CCCC8C)C7)C9CC%10(c%11ccccc%11)CCCCC%10c%12ccc%13cccc(c%13c%12C95)C6C4)C3CCC(C)C2CC;1;0.000;1;0.00
CC1C(C)(CCCC2CCC(C)(C)CC2)CCC3C(C)(C)CCCC13C;1;0.000;1;0.00
c(cCC)cCC(C)C;1;0.000;1;0.00
CCC1C(C)CCCCC1C;1;0.000;1;0.00
c1cc(cc(c1)CCCCCC)C;1;0.000;1;0.00
CCC(C)C1CCC2(C)C1CCC3C4(C)CCCC(C)(C)C4CCC32C;6;0.000;6;0.00
CC1CCCC2(C)C1CCC3(C)CCCCC32;2;0.000;2;0.00
*N(*)CO[H];3;0.000;3;0.00
*S*;9;0.001;9;0.01
*OP(=O)(O[H])O[H];4;0.000;4;0.00
O1CC1C=C;1;0.000;1;0.00
C#CC=C;1;0.000;1;0.00
*C(=O)C=C;61;0.005;60;0.05
c1ccc2c(c1)ccc3cc(ccc32)C;1;0.000;1;0.00
c1ccc(cc1)-cccC(C)C(CC)CCC;2;0.000;2;0.00
ccc(c)C(C)C(C)CCCC(C)(CC)C(C)C(C)C;1;0.000;1;0.00
CC1CCCC1C;1;0.000;1;0.00
c1ccc(cc1)C(C)C(CCC(C)C)C23c4ccccc4CCC3CCCC2;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCC3(C)C2CCC4CCCC43C;1;0.000;1;0.00
cCCCC;4;0.000;4;0.00
c1ccc(cc1)C(CC)CCC;1;0.000;1;0.00
cccc-cccc1ccccc1;1;0.000;1;0.00
ccc1cCCC(C)(C)CCC1;1;0.000;1;0.00
c1ccc(cc1)CCCCC(C)C;2;0.000;2;0.00
ccc1c(c)cccc1C;1;0.000;1;0.00
c(cCC)c1cCCC2CCCC2C1CC;1;0.000;1;0.00
C#CC#CC#C;1;0.000;1;0.00
*n(*)*;330;0.027;192;0.16
*OC(=O)C=C;141;0.011;117;0.10
cc(c)C;1;0.000;1;0.00
*N=CS*;2;0.000;1;0.00
c1ccc(cc1)ccC;3;0.000;3;0.00
[H]Oc;654;0.053;300;0.24
cc(c(c)CC1(C)CCCCC1C)C;2;0.000;2;0.00
*N(*)[H];68;0.006;59;0.05
ccCC;1;0.000;1;0.00
CC(C)CCC(C)CCC(C)C1(C)CCC2C(C)(C)CCCC2(C)C1;1;0.000;1;0.00
cc(cccC)C(c1ccccc1)C;1;0.000;1;0.00
CC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C;2;0.000;2;0.00
O=CC#CC=CC#CC#CC=C;1;0.000;1;0.00
c1ccc2cc(ccc2c1)cc3cCCCC3;2;0.000;2;0.00
c1ccc2c(c1)cccc2CC;1;0.000;1;0.00
CC1(C)CCC2(C)CCCC12C;1;0.000;1;0.00
CCC1CCCC1;1;0.000;1;0.00
[H]OC;2120;0.172;594;0.48
cCC(C)CC;2;0.000;2;0.00
*SC(SSC(S*)=C)=C;1;0.000;1;0.00
CCCCCCC1(C)CCC(C)CC1C;1;0.000;1;0.00
*O*;731;0.059;416;0.34
C=CC=CC=CC=C;1;0.000;1;0.00
*C(=O)C#CC#C;1;0.000;1;0.00
CC1CCC1(C)C;1;0.000;1;0.00
*OC(C=C)=C1C(=O)C=CC1=O;1;0.000;1;0.00
CCC1CC1(C)C;1;0.000;1;0.00
*N(*)S(*)(=O)=O;3;0.000;3;0.00
cc(cc1ccccc1)-c2ccccc2;5;0.000;5;0.00
cccc1cCCC(C1C)C(C)C;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
CCC(C)C(C)CC(C)C;1;0.000;1;0.00
cc1c(c)C(CCC)C(CC1)C(C)C;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
CCCCCCCCCCCC(C)C;1;0.000;1;0.00
*N(*)C1=CC(=O)C(O[H])=CC1=O;1;0.000;1;0.00
*OC(=CC(*)=O)C(*)=O;1;0.000;1;0.00
c1ccc(c(c1)C)CCC(C)CC2CC3C4CC5CC(CCC6CC7(CCCC7CC)CC(C4CCC3(CC)C2)C65)C(C)C8CCCC8;1;0.000;1;0.00
cccc1cccc(cc)c1;2;0.000;2;0.00
CCC1CCCC(CCC2(C)CCCCC2)C3(C)CC(C)CC13;1;0.000;1;0.00
cc(c(c1cccc(c1)C)C)C;1;0.000;1;0.00
*N(*)C(=O)C=NOCOC=CBr;1;0.000;1;0.00
CCCC1(C)CCCC(C)(C)C1CC;1;0.000;1;0.00
*N(O[H])C=O;2;0.000;1;0.00
ccccc-c(c)cc1ccccc1;1;0.000;1;0.00
CCCCC(CCC)C(C)C;1;0.000;1;0.00
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C;1;0.000;1;0.00
CCCCC1(C)C(C)CCC(C)C1CC;2;0.000;2;0.00
ccc(ccC)c1ccccc1;1;0.000;1;0.00
ccc-c1ccccc1CC;1;0.000;1;0.00
*SC1C(=O)N(*)C(S*)C(=O)N1*;1;0.000;1;0.00
*C(=O)OC=C;7;0.001;7;0.01
c1cc(cc(c1)C(Cc2cccc(c2)C3(CC)CCCCC3)C(C)CCCCCCCCC)CCCCC;1;0.000;1;0.00
*C(=O)C=CC=C;6;0.000;6;0.00
*OC(C(*)=O)=C(C=C)C(*)=O;1;0.000;1;0.00
cc(cc(cC)C)Cc1cccc(c1)C;1;0.000;1;0.00
*SC(C#CC#C)=CC#CC#CC=C;1;0.000;1;0.00
*OCSC=NOS(=O)(=O)O[H];1;0.000;1;0.00
*O(*)[H];1;0.000;1;0.00
*N(*)CN1C(=O)C2SSC1C(=O)N2*;1;0.000;1;0.00
CCC(C)C1CCC(C)CC1;1;0.000;1;0.00
*OC=CC=CC(=O)C(=O)O[H];1;0.000;1;0.00
c1ccc(cc1)CC2C(C)CC(C)C(C)(C)C2C;1;0.000;1;0.00
c1ccc(cc1)CCCCCC;2;0.000;2;0.00
c1ccc(c-c1)C;1;0.000;1;0.00
c1cc(ccc1c2cC3(C)C(C2)CCC(C(C)CC)C3(C)CC)CCC(C)C;1;0.000;1;0.00
*N=CC=C(C(*)=O)N(*)*;1;0.000;1;0.00
c(ccC)ccCC;1;0.000;1;0.00
cc(c(cCcc(ccC(cc(c(cCC)C)CC)C)C)CC)C;2;0.000;2;0.00
cccc(c)-cccc(c)CC1C(C)CCC2C(C)(C)CCCC12C;1;0.000;1;0.00
*SC(C(*)=O)=C(C(*)=O)N(*)C(=O)C=CC=CC=C;1;0.000;1;0.00
*S(*)(*)O[H];1;0.000;1;0.00
C(C#CC=CC=C)#CC=C;1;0.000;1;0.00
ccc(c1cc(cc(c1)C)C)CCCC;1;0.000;1;0.00
[H]OC(=O)C(=C)C=C;1;0.000;1;0.00
c1cc(c(cc1-cc(cc2cc(c(cc2C)C)C)C)C)C;1;0.000;1;0.00
CCCC(C)C;19;0.002;16;0.01
*C(=O)N(*)*;274;0.022;152;0.12
CC1CCC2C(CCC(C)C2(C)C)C1C;1;0.000;1;0.00
ccc(c1cc(cc(c1)C)c(c)-c2ccc3ccccc3c2)CCC;1;0.000;1;0.00
*C(=O)C=C(O[H])C(=O)N(*)*;2;0.000;2;0.00
c1cc(c(cc1C)C)C;2;0.000;1;0.00
ccc(c)CCC1(C)C(C)CCC(C)C1CC;1;0.000;1;0.00
CCC(C)CCCCCC(C)C1(C)CCC2C(C)(C)CCCC2(C)C1CC;1;0.000;1;0.00
ccc(c)C1(C)CCC2C(C)(CCC3C(C)(C)CCCC32C)C1;1;0.000;1;0.00
CC(C)CCCC(C)C1CCC(C)C1(C)C;1;0.000;1;0.00
*SCN(C(*)=O)C(=C)C(=O)O[H];2;0.000;2;0.00
C=[cH][cH]=C;1;0.000;1;0.00
cccc(c)CCCCCCCCCCCCCC;1;0.000;1;0.00
CCCC1(C)CCC(CC1)C(C)C;1;0.000;1;0.00
c1ccc(cc1)CCCCCCC;1;0.000;1;0.00
*S(*)=O;1;0.000;1;0.00
[H]OC(=O)C=CC=CC=C;1;0.000;1;0.00
*OP(=O)(OP(=O)(O*)O[H])O[H];1;0.000;1;0.00
CCCC1(C)CCC(CC)CC1;1;0.000;1;0.00
*C(=O)OC1OC1;1;0.000;1;0.00
c1ccc(cc1)C(C)(C)C;1;0.000;1;0.00
*C(=O)C(=C)N(*)*;3;0.000;3;0.00
*N=CC=[cH2];1;0.000;1;0.00
CCCCCCC(C)C(C)C;1;0.000;1;0.00
c1cc(cc(c1)CCC)C;1;0.000;1;0.00
ccc(c)CC(CCC)CCC1(CCC(C)CC)CCC(CCC1C)C(C)C2C(C)CCC32CC(CCC3C)CC4(C)CCCC(C)C4;1;0.000;1;0.00
CCC1C(C)CCC(C)C1C;1;0.000;1;0.00
CCC(C)C(C)CCC(C)C1CCCC1(CCCC2(C)CCCCC2)C3CCCCC3;1;0.000;1;0.00
CC(CCC1(C)CCC(C)(C)CC1)C2(C)CCC3C(C)(C)CCCC3(C)C2C;4;0.000;4;0.00
c1ccc(cc1)c(cC)C;2;0.000;1;0.00
c1ccc(c(c1)C)CCC;1;0.000;1;0.00
cc(cc1cccc(c1)CC)C(c2ccccc2)C;1;0.000;1;0.00
c1cc2c(cc1C(C)C)CCC3C2(C)CCCC3(C)C;1;0.000;1;0.00
c1c(c(cc(c1CCC)CCC(C)CCCC(C)CCCC(C)CCCC(C)C)C)C;1;0.000;1;0.00
CC1CCC2C(CCC3CCCCC32C)C1C;1;0.000;1;0.00
c1ccc(cc1)-cccc2cccc(c2)CC;1;0.000;1;0.00
*N=C(C=C)C=C;1;0.000;1;0.00
O=C(C=C)C=C;8;0.001;7;0.01
*OC(O*)(C=C)C=C;1;0.000;1;0.00
*C(=O)OC(=C)C(*)=O;1;0.000;1;0.00
*OC=CC(=O)C(=CN(*)*)C(*)=O;1;0.000;1;0.00
CCCCCCCCCC(C)C;1;0.000;1;0.00
[H]OC1OC(=O)C=C1;2;0.000;2;0.00
c1ccc(c(c1)c2ccccc2CCCCC)CCCCC;1;0.000;1;0.00
ccc1cCc2c(ccc(c2CC1)C)C;1;0.000;1;0.00
CCC1C(C)CCC(C)C1(C)C;1;0.000;1;0.00
c1ccc(cc1)-cccc2cccc(c2)CCCCCC;2;0.000;2;0.00
*C(=O)C=CO[H];3;0.000;3;0.00
CC(C)C1CCCC(C)C1;1;0.000;1;0.00
cc(c1ccccc1)C;2;0.000;2;0.00
CCCC(C)C(C)CCC;2;0.000;2;0.00
CCCCCCCCC(C)C;1;0.000;1;0.00
*OC(O[H])C(=O)C=C;1;0.000;1;0.00
ccc(ccCc1ccccc1)c2ccccc2;1;0.000;1;0.00
CC1C2CC3C(C2)C13C;1;0.000;1;0.00
CCCCCC(CC)C1CCCC1(C)CC2CCC3CCCCC3(C)C2;1;0.000;1;0.00
c1ccc(c(c1)C)CCCc2cccc(c2)C(C)C;1;0.000;1;0.00
BrC=C;2;0.000;2;0.00
*Cl;60;0.005;41;0.03
c1ccc(cc1)Cc2cccc(c2)CCC(C)Cc3ccc(cc3)CC;1;0.000;1;0.00
c1ccc(c(c1)-c2cccc(c2)C)C;1;0.000;1;0.00
CCCC(C)CCCC(C)CCCC(C)C;1;0.000;1;0.00
c1ccc(cc1)CCCC;2;0.000;1;0.00
cccC(c1cccc(ccc-c2ccccc2)c1)C;1;0.000;1;0.00
c1ccc(cc1)CC(C)C(C)Cc2ccccc2;2;0.000;2;0.00
c1ccc(cc1)C;94;0.008;87;0.07
ccc(cc-c1ccccc1)c2ccccc2;1;0.000;1;0.00
*Br;32;0.003;20;0.02
c1ccc(cc1)C(CC)C(CC)CC(C)C;1;0.000;1;0.00
cccc-cccC(C)C(CC)CCC;1;0.000;1;0.00
CCCC1CCCC(C)C1;1;0.000;1;0.00
c1ccc(cc1)-c2ccccc2C;1;0.000;1;0.00
*OC(=O)C1OC1;3;0.000;3;0.00
CC1CCC2C(CCC(C(C)(C)C)C2(C)C)C1;1;0.000;1;0.00
CC(CCC1C(C)CCCC1(C)C)C(C)CCC2(C)CCC(C)(C)CC2;1;0.000;1;0.00
CC(C)(C)C;5;0.000;5;0.00
CC1CCC(CCC(C)C2(C)CCC3C(C)(C)CCCC3(C)C2C)CC1C;1;0.000;1;0.00
CC1CCCC(C)C1C;1;0.000;1;0.00
CCCC(CC)CC;1;0.000;1;0.00
CC(C)C1CCC2(C)CCCC(C)C2C1;4;0.000;4;0.00
CCCCCCCCCCC;4;0.000;4;0.00
*OCOCOCO*;1;0.000;1;0.00
CC(C)CCCC1(C)CCCC(C)(C)C1C;1;0.000;1;0.00
CCC1(C)C(C)CCC(C)C1C;1;0.000;1;0.00
c1ccc(cc1)c2cC(C)(C)C3CCC(C)CC23;1;0.000;1;0.00
*N(*)C(=S)N(*)*;3;0.000;3;0.00
ccc(cc)C;3;0.000;3;0.00
*N(*)C(=O)C=C;11;0.001;11;0.01
*C(=O)C1OC1C(*)=O;1;0.000;1;0.00
c1ccc2c(c1)CCC2;1;0.000;1;0.00
c1ccc2c(c1)CCCC2;1;0.000;1;0.00
ccc(ccc1ccccc1c)c2ccccc2;3;0.000;3;0.00
[H]OC(=O)C1OC1;1;0.000;1;0.00
c-ccccC;1;0.000;1;0.00
c1ccc(cc1)-cccc2cccc(c2)C(c3ccccc3)C;1;0.000;1;0.00
CCC(C)CC;9;0.001;9;0.01
c1ccc(cc1)cc(cC)-c2ccccc2;1;0.000;1;0.00
*C(=O)C(=C)C=C;1;0.000;1;0.00
CC1CCCC2(C)C1CCC3(C)C2CCC4C5CCCC5(C)CCC43C;1;0.000;1;0.00
CC1CCCC2(C)C1CCC34CC(C)C(CCC32)C4;3;0.000;3;0.00
c1ccc(cc1)C(C)(CC)CC;2;0.000;2;0.00
CCC(C)CC(CC)C1CCCC1(C)C;1;0.000;1;0.00
c1ccc(cc1)cc-c2ccccc2;1;0.000;1;0.00
ccc1cccc(c1)CC;1;0.000;1;0.00
c1ccc(cc1)C2CCC(c3ccccc3)C2c4ccccc4;2;0.000;2;0.00
CCCCC(C)C1CCC2(C)C(CCC2C1C)C(C)CCC(CC)C(C)C;1;0.000;1;0.00
ccCCC;1;0.000;1;0.00
c1ccc2c(c1)CC(CCCCCCCCC)C3C2CCC4(C)CCCC34;1;0.000;1;0.00
c1ccc(cc1)-c2ccc(cc2)-c3ccccc3;1;0.000;1;0.00
*N(*)C(=O)N(*)C=CC(=O)C=C;1;0.000;1;0.00
CCC(C)C1CCC(C)C1(C)CC;2;0.000;2;0.00
ccc-1ccc2c1cCCC(C)C2(C)C(C)CCC(C)C;1;0.000;1;0.00
CCC1C(C)CCCC1(C)CCCC2CC3C(C)(C)CCCC3(C)C2C;1;0.000;1;0.00
*N=C(O[H])N(*)C(=N*)O[H];1;0.000;1;0.00
*N(*)C[N](*)(*)*;1;0.000;1;0.00
c1ccc(cc1)-c2ccccc2;10;0.001;7;0.01
c1ccc(cc1)CCC(C)(C)CCC;1;0.000;1;0.00
*S(*)(=O)=O;2;0.000;2;0.00
ccc(-c1ccccc1)c2cccc(c2)CCC(C)C;1;0.000;1;0.00
cc(c1ccccc1)CC;11;0.001;11;0.01
CCC1CCCCC1;4;0.000;4;0.00
CC1C(C)(C)CCCC1(C)CCCC2C(C)(C)CCC3C(C)(C)CCCC23C;1;0.000;1;0.00
*N=C(O[H])C(=CO[H])C(*)=O;1;0.000;1;0.00
cc;15;0.001;13;0.01
*N=C(N(*)*)N(*)*;12;0.001;12;0.01
*N(*)C(=O)C(=C)C=C;2;0.000;2;0.00
cccc(c)CCCCC;1;0.000;1;0.00
CC(C)C1CCC2(C)CCC3(C)CC4CC4(C)CC3C12;1;0.000;1;0.00
CC1CCC(C)CC(C)(C)C1;1;0.000;1;0.00
*C(=O)C=CN(*)C=C;1;0.000;1;0.00
*OCN(*)*;6;0.000;6;0.00
CCCCC(C)C(CC)CC;1;0.000;1;0.00
CCC1CCC2C(C)C3CCC(C(C)C3)C12;1;0.000;1;0.00
CCC12CCC(C)C(C)(CCC(C)CC1C)C2;1;0.000;1;0.00
*OC(O*)(C(*)=O)C1=CC(=O)C=CC1=O;1;0.000;1;0.00
CCC(C)(CC)CC;1;0.000;1;0.00
*N=C(O*)O[H];2;0.000;2;0.00
cC;5;0.000;5;0.00
CCCCCCCCCCCC;3;0.000;3;0.00
CCC1CCC1(C)CC;1;0.000;1;0.00
[H]N([H])c;19;0.002;17;0.01
cc(-c1ccccc1)c(c2ccccc2)C;2;0.000;2;0.00
*C(=O)C=CC=CC(*)=O;1;0.000;1;0.00
*OC(=O)C=COCOCO*;2;0.000;2;0.00
*OC=COCO*;1;0.000;1;0.00
[H]OC(=O)C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C=C;1;0.000;1;0.00
ccc(-c1ccccc1)c2cccc(c2)CC;1;0.000;1;0.00
*OCOCO*;8;0.001;8;0.01
CCCC1(C)C(CC)C1C2CCC(C)C2;1;0.000;1;0.00
CCCCCC(C)C(C)CC;1;0.000;1;0.00
cc1ccccc1cc-cc(c2ccccc2)CC;1;0.000;1;0.00
CC(C)CCCCCC1(C)CCCC2C3(C)CCCC(C)(C)C3CCC21C;1;0.000;1;0.00
*OO*;1;0.000;1;0.00
CCCCC1CCCC1;1;0.000;1;0.00
CCCCCCCC(C)CC;1;0.000;1;0.00
CC(C)C1CCC2(C)CCC3(C)CCC4CC4C3C12;1;0.000;1;0.00
CCC(C)C;53;0.004;44;0.04
[H]N([H])C;44;0.004;33;0.03
c1ccc2c(c1)ccc(c2-c3c4ccccc4ccc3C)C;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCC3(C)C2CCC4(C)C5CCCC5(C)CCC43C;1;0.000;1;0.00
ccccc;10;0.001;10;0.01
*[N]*;1;0.000;1;0.00
c1ccc(cc1)CCCCc2ccccc2;1;0.000;1;0.00
*N(*)C1OC1;1;0.000;1;0.00
CCC(C)C1CCCCC1C;1;0.000;1;0.00
*OCOCOC(=O)C=C;1;0.000;1;0.00
CC(CCC(C)C1(C)CCC2C(C)(C)CCCC2(C)C1)CCC(C)(C)C;1;0.000;1;0.00
*N(*)N=C;1;0.000;1;0.00
c(c-cc-c1ccccc1)cccC;2;0.000;2;0.00
ccccC;3;0.000;3;0.00
cc(cc1cccc(c1)C)-c2cccc(c2)C;1;0.000;1;0.00
cccc(c)C;1;0.000;1;0.00
c1ccc(cc1)CccCC;1;0.000;1;0.00
CCCCC1CCCC1C;2;0.000;2;0.00
c1ccc(c(c1)CCC)CCCC;1;0.000;1;0.00
CC1CCCC2(C)C(C)C(C)(CCC12)C(C)CCC3CCC(C)(C)CC3;3;0.000;3;0.00
ccc(c)CC(C)CCC(CC)C(C)(CC)C(C)C(C)C;1;0.000;1;0.00
*N=C=S;1;0.000;1;0.00
CCC1C(C)CCC(C)C1(C)CCC(C)C;1;0.000;1;0.00
[H]OC=[cH][cH]=C;1;0.000;1;0.00
CCC1CCC(C)CC(C)C1;1;0.000;1;0.00
CCCCCCCC(C)CC(C)CC;1;0.000;1;0.00
*C(=O)C=C1OC(=O)C=C1;1;0.000;1;0.00
CC(C)C1CCC(CC1)C(C)C;1;0.000;1;0.00
cc-c;1;0.000;1;0.00
CCCC(CC)C(CC)C(C)C;1;0.000;1;0.00
cccC(C)C;1;0.000;1;0.00
cc(c(c)CC)C;1;0.000;1;0.00
CCC(C)CCCC1(C)CCCC1CCCC(C)C;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
CCC1CCC2C3CCC4CCCCC4(C)C3CCC12C;6;0.000;6;0.00
CC1CCC(CC1)CC(C)C2CCC(C(C)C2)C3CC(C)CC3C;1;0.000;1;0.00
CC1CCCCC1C2CCCC(C)(C)C2C;1;0.000;1;0.00
*OC(O[H])C(*)=O;1;0.000;1;0.00
cc(c(cC)CC(C)C(C)CC)C;1;0.000;1;0.00
c1ccc(cc1)C(C)C(c2ccccc2)C;1;0.000;1;0.00
CC1CCCC2C1(C)CCC3C2(C)CCC4(C)C5CC(C)(C)CCC5(C)CCC34C;1;0.000;1;0.00
CC12CCCC2C3CCC4CCCCC4(C)C3CC1;1;0.000;1;0.00
C1CCC(CC1)C2CCCC2;1;0.000;1;0.00
CCCCC(C)C1CCC2(C)C(CCC2C1C)C(C)CCCC(C)C;3;0.000;3;0.00
cc(c(c1cccc(c1)CCC(C)C2CCCCC2)C)C(C)CC;1;0.000;1;0.00
CC1(C)CCCC2(C)C3CCCCC3CCC12;2;0.000;2;0.00
c1ccc(cc1)CCCc2cc(cc(c2)C)C;1;0.000;1;0.00
cccc(c)C1CCC2C3CCC4CCCCC4(C)C3CCC12C;1;0.000;1;0.00
O=CC=C;7;0.001;7;0.01
c1ccc(cc1)C2(CC)CCCC(CC)(CCC)C2;1;0.000;1;0.00
c1ccc(cc1)CCc2ccccc2-c3ccccc3CCc4ccccc4;1;0.000;1;0.00
CCC(C)C1CCC2CC1CC2C;1;0.000;1;0.00
CC(C)C1CC1;1;0.000;1;0.00
CCC(C)C1(C)C(C)C(C)C2CC21;1;0.000;1;0.00
CCCC(C)C(C)CCC1C(C)CCC(C(C)C)C1C;1;0.000;1;0.00
CCC1C(C)CCCC1(C)C;8;0.001;8;0.01
*OC(=O)C(=C)N(*)*;1;0.000;1;0.00
CCCCC(CCC)C(C)(C)C;1;0.000;1;0.00
cc(cc(cC)C)C;1;0.000;1;0.00
CCCC1CCC(C)CC1C;2;0.000;2;0.00
*OC(=O)C=CC1OC1;1;0.000;1;0.00
cc(cc1cccc(c1)C)-c2ccccc2;2;0.000;2;0.00
c1ccc(cc1)CCc2ccccc2CC;3;0.000;3;0.00
C#CC#C;3;0.000;3;0.00
*OC(=O)N(*)*;13;0.001;13;0.01
c1ccc(cc1)CCC(C)Cc2ccccc2;1;0.000;1;0.00
c1cc(ccc1C(C)C)C2(C)CCCC(C)(C)C2;1;0.000;1;0.00
*ON(*)*;2;0.000;2;0.00
c1ccc(cc1)C(CC)C(c2ccccc2)CC;1;0.000;1;0.00
S1SCSSCSSC1;1;0.000;1;0.00
c1ccc(cc1)cc2ccccc2;1;0.000;1;0.00
c1cc(c2c(c1)CCCC2(C)C)C;1;0.000;1;0.00
c1cc(cc(c1)C(C)C)CCCC(C)(C)CCC;1;0.000;1;0.00
c1cc(cc(c1)CCC2(C3CCCC3)C(CCC(CC)(C(C)C)C2CC)C(C)CCCCC(C)C)C;1;0.000;1;0.00
c1cc(c2cC3(C)C(C2)CCCC3(C)CCC)c(c(c1)C)C4CCC4C(C)C;1;0.000;1;0.00
c1cc(cc(c1)CC(c2cc(cc(c2)C)C)C)C;1;0.000;1;0.00
c1ccc(cc1)CC(c2cccc(c2)C)C;1;0.000;1;0.00
*OC(=CC=C)C(*)=O;2;0.000;2;0.00
CCCCC(C)C;4;0.000;4;0.00
CCC1CCCC1(C)CCCC2(C)CCCCC2;1;0.000;1;0.00
c1ccc(cc1)C2CCCC2;1;0.000;1;0.00
ccc(cc)c1ccccc1;1;0.000;1;0.00
CCCCC(C)C1CCC2(C)C(CC)CCC2C1C;6;0.000;6;0.00
cc(ccC)C;1;0.000;1;0.00
C#CC=1SSC(C#CC#CC=C)=CC1;1;0.000;1;0.00
cC(CC)CC;1;0.000;1;0.00
CCCCC(C)C(CC)CCC(C)C(C)CC;1;0.000;1;0.00
CCC(C)C(C)CC1CCC(CC)C1C;1;0.000;1;0.00
cc(c(c1cccc(c1)c(c)C(C)(C)C)C)CC;1;0.000;1;0.00
CCCC(C)CCCC1(C)CCCC1C(C)CCCC(C)C;1;0.000;1;0.00
CCCCCC(CC)C1(CCCC)CCCC1;1;0.000;1;0.00
cc1c(c)C2(C)CCC3C4(C)CCCC(C)(C)C4CCC3(C)C2CC1;1;0.000;1;0.00
CC(C)C1CCCC2(CCCC2)C1;1;0.000;1;0.00
ccc1cc(ccc1c)CC;1;0.000;1;0.00
C=CC=C;25;0.002;25;0.02
CCCC;168;0.014;126;0.10
CC1CCCC2(C)CC3(CCC12)CC4CC4(C)C3;1;0.000;1;0.00
CC(C)C1CCCCC1;1;0.000;1;0.00
c1ccc(cc1)C2(CC)CCCC(CC)C2;1;0.000;1;0.00
ccc(c)CCC1CC(C)(CCC1C)C(C)C;1;0.000;1;0.00
CC1(C)CCCC1;1;0.000;1;0.00
cc(c(c1cccc(c1)c2cCCCC2)C)C;1;0.000;1;0.00
CCC(C)CC(C)C(C)CC;1;0.000;1;0.00
cc(c(c1cc(cc(c1)C)c(cC)C)C)C;1;0.000;1;0.00
cc(cc1ccccc1)C(c2ccccc2)C;2;0.000;2;0.00
ccccCCC(C)CC;2;0.000;2;0.00
*OC(*)=O;526;0.043;343;0.28
CCCC1(C)CCCCC1C;1;0.000;1;0.00
CCCCC(C)CC(C)C;1;0.000;1;0.00
c1ccc(cc1)-ccc2ccccc2;1;0.000;1;0.00
[H]OC(=C)C(=O)C=C;1;0.000;1;0.00
CCC(C)C1(C)CCC(C(C)C)C(C)(CC)C1CC;1;0.000;1;0.00
c1ccc2-c3ccccc3CCCc2cc1;2;0.000;2;0.00
c1ccc(cc1)Cc2ccccc2;1;0.000;1;0.00
c1ccc(cc1)c(cCC)CC;2;0.000;2;0.00
[H]OC(=O)C=C(C=C)C(=O)O[H];1;0.000;1;0.00
CCCC(C)CC(C)C;1;0.000;1;0.00
O1CC1C=CC=C;1;0.000;1;0.00
*C(=O)N(N=C)CN(*)*;1;0.000;1;0.00
[H]OCO[H];2;0.000;2;0.00
cCC(C)C;1;0.000;1;0.00
