Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
c1cc(cc(c1)CC)CC;9;0.000;9;0.00
CCCC1CCC(C)C1;2;0.000;2;0.00
O=C1C=CC2(OC2)C=C1;1;0.000;1;0.00
c1cc(c2c(c1)C(C)(C)CC3(C2)CCCC3)C;1;0.000;1;0.00
CCCC(CCC)C1CCCCC(CC(C)CC)C1;1;0.000;1;0.00
*N(*)C=CC=CC=1OCOC1;1;0.000;1;0.00
c1cc2c(cc1CCC)CCCC2C(C)C;1;0.000;1;0.00
cccc(c)CC(CCC)CCCCCCCC;5;0.000;5;0.00
*C(*)=O;2484;0.017;1848;0.14
*C(=O)N(*)N(*)S(*)(=O)=O;3;0.000;3;0.00
*C(=O)C(Cl)=C1C=COC(C=CC=C)=C1;1;0.000;1;0.00
*OC(O*)C(*)=O;1;0.000;1;0.00
CCCC1CCCC(CC1)C(C)CCC(C)C2CCCC2(CCCC3(CC)CCCCC3)C4CCCCC4;2;0.000;2;0.00
*N=C(O[H])C=C1C=NN=C1O[H];1;0.000;1;0.00
c1ccc2c(c1)C3c4ccc(cc4C2CC3)C(C)(C)C;11;0.000;11;0.00
cc(cccC)CC1C(C)CCC2C1(C)CCC3C(C)(C)CCCC32C;1;0.000;1;0.00
*N=CC(SC[N](*)(*)*)=CC=C(O*)O[H];1;0.000;1;0.00
CCC1CCC(C1)C2CCC(C)C2(C)CC;4;0.000;4;0.00
c1ccc2cc(ccc2c1)CCc3ccc(cc3)CCCC4CC5CCCC65CCC7(CCCC7)C(C)C6C4;1;0.000;1;0.00
ccccccc1ccccc1c;1;0.000;1;0.00
ccc(c)-c1ccc(cc1)-c2ccccc2;1;0.000;1;0.00
CCCCC(CC(C)C)C1CCCCC1;2;0.000;2;0.00
CCC1CCC(C)C(CC)C1;2;0.000;2;0.00
CCCC(C)(C)CCCCCCC(C)C;4;0.000;4;0.00
CCCCCCC(C)C(C)CCC(C)C1CCCC1(C)CCCC2(CC)CCCCC2;3;0.000;3;0.00
*OCN(*)C1C=C(C#C)C=CN1*;1;0.000;1;0.00
*SSC(C=CC=C)N(*)C[N](*)(*)*;1;0.000;1;0.00
*N(*)C(=O)N(*)C1SN(*)C(=O)[N]1(*)*;1;0.000;1;0.00
c1cc(cc(c1)CCC2C(CC)C(C)CC3(CCCC3)C2CCC)C;1;0.000;1;0.00
c1cc(c(cc1C)CC(C)C)CC;1;0.000;1;0.00
CCCCCCCCCC(C)C;3;0.000;3;0.00
*C(=O)C(=CN(*)*)C(*)=O;17;0.000;17;0.00
CCCC1CCCC(CC1)C2CCCCC(C2)C(C)C3CCCC3(C)CCCC4(CC)CCCCC4C;3;0.000;3;0.00
*OC(=O)N(*)C(=S)N(*)*;2;0.000;1;0.00
c(c(cC)CCC)C;42;0.000;42;0.00
c1ccc(c(c1)C)CCCCCCCCCC;5;0.000;5;0.00
c1cc(ccc1C)CCCc2ccc(cc2)C;1;0.000;1;0.00
ccc(c)CC1(C)CCC2C(CC3CC4(C)CC3C2(C)C4C)C1;1;0.000;1;0.00
CCCCCCCCCCCCCCCCC(C)CCCC(C)CCCCCCC;1;0.000;1;0.00
*C(=O)OCOC=C;2;0.000;2;0.00
ccc(cc-c1ccccc1)c(c)c;2;0.000;2;0.00
[H]OC(=O)C1=CC2=NC1=CC=NC=CC3=NC(=CC4=NC(C=C4)=C2)C(C=C)=C3;1;0.000;1;0.00
cc(c(c1cccc(c1)CCC(C)C2CC(c3ccccc3)CC2CC4c5cc6ccc5C(C)C(Cc7ccc(cc7)Cc8cccc(c8)C9%10c%11cccc(c%11CCC%10CCCC9)CCC(C)C6)C4)C)C(C)CC;2;0.000;2;0.00
